energy,tempo,instrumentalness,acousticness,danceability,key,loudness,mode,speechiness,liveness,valence,duration_ms,time_signature,label
0.313,102.922,0.879,0.94,0.5589999999999999,4.0,-17.002,1.0,0.0463,0.0981,0.743,223173.0,4.0,Composer
0.523,74.02199999999998,0.948,0.813,0.0657,3.0,-14.967,0.0,0.054,0.0986,0.0775,773027.0,4.0,Composer
0.635,82.27600000000002,0.846,0.903,0.161,2.0,-16.915,1.0,0.113,0.364,0.109,123013.0,3.0,Composer
0.3339999999999999,100.005,0.89,0.799,0.514,10.0,-22.245,0.0,0.0355,0.0923,0.0519,350400.0,4.0,Composer
0.374,102.217,0.6559999999999999,0.583,0.583,9.0,-11.417,0.0,0.0383,0.262,0.405,154600.0,4.0,Composer
0.402,99.956,0.81,0.425,0.444,10.0,-14.109000000000002,1.0,0.0329,0.0772,0.218,411267.0,4.0,Composer
0.361,107.969,0.967,0.721,0.4579999999999999,4.0,-17.749000000000006,1.0,0.0274,0.0971,0.26,186360.0,4.0,Composer
0.474,89.55,0.633,0.7609999999999999,0.355,4.0,-12.689,1.0,0.035,0.0908,0.3670000000000001,170533.0,4.0,Composer
0.38,82.74700000000001,0.645,0.64,0.434,2.0,-13.43,1.0,0.0307,0.114,0.522,195573.0,4.0,Composer
0.494,105.116,0.962,0.67,0.4379999999999999,2.0,-17.703,1.0,0.0312,0.183,0.785,195173.0,4.0,Composer
0.473,100.024,0.875,0.949,0.628,5.0,-15.201,1.0,0.0404,0.1159999999999999,0.411,249700.0,4.0,Composer
0.4629999999999999,89.875,0.6679999999999999,0.505,0.401,6.0,-13.014,0.0,0.0315,0.272,0.674,256933.0,1.0,Composer
0.486,98.105,0.795,0.98,0.539,5.0,-12.751,1.0,0.0278,0.115,0.1939999999999999,200933.0,1.0,Composer
0.462,98.275,0.755,0.887,0.531,5.0,-11.084,1.0,0.0848,0.0517,0.95,117893.0,3.0,Composer
0.461,88.65799999999999,0.8540000000000001,0.8420000000000001,0.413,9.0,-10.845,0.0,0.0315,0.207,0.375,129533.0,3.0,Composer
0.608,72.969,0.935,0.933,0.213,1.0,-10.143,1.0,0.0356,0.0699,0.0369,177493.0,3.0,Composer
0.318,86.575,0.877,0.919,0.1159999999999999,2.0,-24.469,1.0,0.0673,0.113,0.0683,355893.0,4.0,Composer
0.6629999999999999,85.12299999999998,0.893,0.991,0.221,5.0,-18.423,1.0,0.0715,0.389,0.0398,101227.0,4.0,Composer
0.302,98.808,0.789,0.6920000000000001,0.4039999999999999,7.0,-11.818,1.0,0.0362,0.102,0.357,235027.0,3.0,Composer
0.3929999999999999,94.543,0.8340000000000001,0.684,0.557,7.0,-12.664,1.0,0.044,0.0828,0.158,112680.0,4.0,Composer
0.392,76.31,0.916,0.63,0.526,7.0,-16.164,1.0,0.0274,0.133,0.321,226667.0,4.0,Composer
0.455,93.668,0.649,0.934,0.68,10.0,-20.968000000000004,1.0,0.0726,0.362,0.644,224587.0,4.0,Composer
0.331,80.808,0.863,0.865,0.3429999999999999,4.0,-11.031,0.0,0.0336,0.161,0.629,305280.0,3.0,Composer
0.307,86.243,0.769,0.818,0.444,1.0,-13.729,1.0,0.0348,0.163,0.586,593227.0,4.0,Composer
0.355,79.998,0.675,0.643,0.66,4.0,-13.937,1.0,0.0421,0.114,0.449,284200.0,4.0,Composer
