energy,tempo,instrumentalness,acousticness,danceability,valence,label
0.78,120.004,2.83e-05,0.124,0.755,0.387,Kinetik
0.913,108.024,0.0,0.0182,0.709,0.519,Kinetik
0.937,105.549,1.04e-06,0.322,0.661,0.805,Kinetik
0.821,111.958,0.00299,0.00666,0.654,0.613,Kinetik
0.768,105.999,0.00147,0.149,0.676,0.493,Kinetik
0.854,120.035,0.0,0.0653,0.669,0.706,Kinetik
0.83,111.664,3.04e-05,0.201,0.732,0.871,Kinetik
0.83,127.014,0.0,0.588,0.659,0.937,Kinetik
0.751,129.993,0.014,0.0142,0.829,0.96,Kinetik
0.786,104.833,0.0,0.328,0.748,0.917,Kinetik
0.849,120.063,1.37e-06,0.018,0.719,0.886,Kinetik
0.879,119.996,4.09e-06,0.629,0.672,0.74,Kinetik
0.826,117.648,3.65e-06,0.00453,0.656,0.894,Kinetik
0.761,115.048,0.00115,0.806,0.699,0.706,Kinetik
0.85,100.008,1.14e-05,0.0345,0.673,0.793,Kinetik
0.762,119.003,0.0,0.461,0.676,0.81,Kinetik
0.782,123.04,8.66e-06,0.0684,0.71,0.523,Kinetik
0.868,111.154,0.0,0.111,0.731,0.975,Kinetik
0.86,115.0,0.00646,0.609,0.651,0.29,Kinetik
0.834,139.377,0.000229,0.0172,0.654,0.904,Kinetik
0.93,124.94,0.0,0.239,0.723,0.69,Kinetik
0.918,111.017,2.23e-06,0.356,0.755,0.634,Kinetik
0.785,111.993,8.32e-05,0.0882,0.721,0.878,Kinetik
0.805,116.141,0.0,0.283,0.762,0.963,Kinetik
0.814,124.03,0.0102,0.243,0.79,0.914,Kinetik
0.771,111.099,0.0,0.704,0.817,0.76,Kinetik
0.823,120.03,0.067,0.138,0.683,0.837,Kinetik
0.918,100.041,4.61e-05,0.126,0.779,0.391,Kinetik
0.79,135.953,3.91e-05,0.264,0.759,0.914,Kinetik
0.99,125.023,0.419,0.000375,0.797,0.926,Kinetik
0.794,116.423,0.229,0.0563,0.817,0.921,Kinetik
0.846,118.025,0.00352,0.0798,0.71,0.505,Kinetik
0.902,122.023,0.000205,0.102,0.724,0.385,Kinetik
0.929,129.996,0.00129,0.309,0.677,0.709,Kinetik
0.819,117.971,0.000168,0.0646,0.758,0.827,Kinetik
0.862,108.001,0.00298,0.157,0.683,0.609,Kinetik
0.775,107.153,0.00188,0.000472,0.73,0.491,Kinetik
0.815,111.992,0.000122,0.31,0.767,0.787,Kinetik
0.932,105.01,0.0136,0.414,0.824,0.471,Kinetik
0.876,126.015,0.0328,0.00421,0.687,0.884,Kinetik
0.818,105.0,6.26e-05,0.000998,0.754,0.78,Kinetik
0.889,122.757,4.02e-05,0.0483,0.714,0.935,Kinetik
0.869,124.947,0.391,0.168,0.789,0.909,Kinetik
0.858,126.005,0.0629,0.321,0.762,0.836,Kinetik
0.912,107.999,1.25e-06,0.316,0.765,0.568,Kinetik
0.775,119.982,0.0061,0.00914,0.75,0.962,Kinetik
0.755,118.168,0.00267,0.564,0.781,0.597,Kinetik
0.857,126.009,0.0528,0.289,0.764,0.792,Kinetik
0.866,131.913,0.0,0.267,0.729,0.711,Kinetik
0.858,115.113,0.000204,0.0332,0.699,0.432,Kinetik
0.828,104.974,0.0028,0.113,0.746,0.31,Kinetik
0.874,107.346,0.0,0.587,0.668,0.836,Kinetik
0.868,119.988,0.0638,0.00763,0.738,0.802,Kinetik
0.902,133.984,3.93e-05,0.0256,0.762,0.882,Kinetik
0.793,112.003,7.82e-06,0.0702,0.776,0.771,Kinetik
0.825,117.893,0.00598,0.0707,0.732,0.79,Kinetik
0.938,104.981,5.29e-05,0.168,0.736,0.561,Kinetik
0.843,131.461,0.000297,0.0641,0.669,0.842,Kinetik
0.779,105.003,0.0,0.0976,0.821,0.464,Kinetik
0.793,121.977,1.31e-06,0.255,0.868,0.972,Kinetik
0.951,110.076,0.0034,0.0681,0.723,0.762,Kinetik
0.797,121.996,0.0,0.414,0.869,0.973,Kinetik
0.928,122.487,0.0189,0.152,0.854,0.782,Kinetik
0.951,116.001,0.329,0.0149,0.736,0.932,Kinetik
0.869,117.999,0.154,0.374,0.674,0.813,Kinetik
0.91,123.023,0.000121,0.015,0.768,0.96,Kinetik
0.922,127.989,1.08e-06,0.0974,0.974,0.657,Kinetik
0.922,104.015,0.0118,0.00655,0.782,0.761,Kinetik
0.835,114.997,0.00227,0.128,0.831,0.8,Kinetik
0.93,125.014,0.0,0.176,0.662,0.954,Kinetik
0.811,100.065,7.09e-06,0.122,0.711,0.417,Kinetik
0.768,111.077,0.0,0.731,0.815,0.76,Kinetik
0.948,126.703,0.0,0.0334,0.688,0.957,Kinetik
0.792,121.831,0.0,0.317,0.665,0.945,Kinetik
0.878,102.012,0.000552,0.0557,0.697,0.751,Kinetik
0.912,122.496,0.0254,0.173,0.858,0.798,Kinetik
0.751,105.003,0.000193,0.394,0.787,0.834,Kinetik
0.831,120.919,0.000148,0.0132,0.731,0.973,Kinetik
0.858,110.993,4.2e-05,0.12,0.81,0.69,Kinetik
0.83,100.015,0.00118,0.0901,0.746,0.364,Kinetik
0.871,101.199,0.14,0.0238,0.763,0.618,Kinetik
0.93,105.017,0.00734,0.419,0.823,0.487,Kinetik
0.769,123.904,0.0,0.0299,0.821,0.606,Kinetik
0.752,118.591,0.0,0.0569,0.716,0.776,Kinetik
0.812,122.003,0.000998,0.0318,0.805,0.748,Kinetik
0.962,108.602,2.65e-05,0.127,0.743,0.872,Kinetik
0.751,111.96,8.84e-05,0.441,0.695,0.701,Kinetik
0.902,111.925,0.00114,0.016,0.677,0.893,Kinetik
0.841,106.477,0.00048,0.402,0.808,0.891,Kinetik
0.815,106.068,0.0,0.528,0.682,0.964,Kinetik
0.769,117.733,0.0256,0.00545,0.676,0.891,Kinetik
0.76,122.108,0.0747,0.521,0.778,0.895,Kinetik
0.788,122.712,1.52e-05,0.0599,0.82,0.8,Kinetik
0.854,126.39,8.09e-06,0.133,0.739,0.792,Kinetik
0.849,106.873,0.0,0.711,0.845,0.808,Kinetik
0.932,124.012,0.0823,0.00341,0.75,0.82,Kinetik
0.942,131.45,0.0142,0.386,0.672,0.574,Kinetik
0.801,116.017,0.116,0.0195,0.843,0.908,Kinetik
0.913,108.013,3.25e-06,0.324,0.793,0.533,Kinetik
0.83,119.099,0.00445,0.0659,0.705,0.602,Kinetik
0.863,132.983,0.000183,0.0242,0.744,0.676,Kinetik
0.871,123.06,0.00915,0.35,0.778,0.961,Kinetik
0.925,116.057,0.0,0.0594,0.815,0.898,Kinetik
0.852,108.033,0.00309,0.179,0.683,0.635,Kinetik
0.897,135.087,0.00999,0.0159,0.727,0.897,Kinetik
0.814,114.886,0.0,0.0553,0.846,0.784,Kinetik
0.758,111.038,0.00466,0.159,0.78,0.911,Kinetik
0.904,100.045,0.0589,0.339,0.795,0.85,Kinetik
0.919,109.022,9.37e-05,0.0371,0.735,0.155,Kinetik
0.84,112.081,0.0335,0.0278,0.757,0.734,Kinetik
0.888,120.042,0.0,0.27,0.765,0.625,Kinetik
0.922,105.085,0.0,0.285,0.775,0.712,Kinetik
