energy,tempo,instrumentalness,acousticness,danceability,key,loudness,mode,speechiness,liveness,valence,duration_ms,time_signature,label
0.201,88.107,2.26e-05,0.907,0.639,7.0,-16.613,0,0.0526,0.124,0.4,111734.0,4.0,Mender
0.287,80.64,0.961,0.969,0.739,6.0,-14.007,0,0.059,0.111,0.557,188695.0,4.0,Mender
0.305,81.153,0.0,0.833,0.473,11.0,-8.48,0,0.0311,0.109,0.524,138201.0,4.0,Mender
0.162,82.33,0.829,0.933,0.487,11.0,-11.238,0,0.106,0.117,0.49,81000.0,4.0,Mender
0.263,73.834,0.0,0.92,0.49,5.0,-9.248,0,0.0462,0.103,0.361,171486.0,4.0,Mender
0.424,97.675,0.0,0.883,0.462,5.0,-7.038,0,0.0301,0.147,0.564,124742.0,4.0,Mender
0.203,89.646,0.0,0.829,0.532,9.0,-8.524,0,0.0668,0.108,0.543,259920.0,4.0,Mender
0.274,75.01,0.0,0.899,0.664,10.0,-11.005,0,0.0425,0.354,0.392,148812.0,4.0,Mender
0.453,93.877,0.0,0.532,0.443,8.0,-9.763,0,0.12,0.167,0.477,95733.0,1.0,Mender
0.295,79.991,0.000763,0.877,0.575,2.0,-19.252,0,0.204,0.336,0.564,285880.0,4.0,Mender
0.456,93.678,0.0,0.529,0.429,8.0,-9.763,0,0.121,0.178,0.485,95733.0,1.0,Mender
0.586,96.954,0.59,0.638,0.486,2.0,-8.539,0,0.032,0.966,0.393,206848.0,4.0,Mender
0.393,60.587,5.59e-05,0.41,0.438,11.0,-8.877,0,0.0276,0.312,0.533,208933.0,4.0,Mender
0.512,96.428,0.00183,0.772,0.762,11.0,-8.633,0,0.239,0.183,0.576,405653.0,4.0,Mender
0.468,87.803,0.000849,0.524,0.445,5.0,-8.106,0,0.0702,0.112,0.444,177720.0,4.0,Mender
0.468,87.803,0.000849,0.524,0.445,5.0,-8.106,0,0.0702,0.112,0.444,177720.0,4.0,Mender
0.468,87.803,0.000849,0.524,0.445,5.0,-8.106,0,0.0702,0.112,0.444,177720.0,4.0,Mender
0.56,90.016,0.0025,0.595,0.565,9.0,-8.198,0,0.0281,0.207,0.592,194333.0,4.0,Mender
0.00952,80.772,0.921,0.995,0.286,2.0,-40.225,0,0.0447,0.105,0.416,218200.0,4.0,Mender
0.138,80.028,0.942,0.949,0.792,2.0,-17.393,0,0.0832,0.124,0.434,165000.0,4.0,Mender
0.22,80.02,0.902,0.909,0.715,10.0,-16.329,0,0.0553,0.233,0.477,124500.0,4.0,Mender
0.203,79.998,0.837,0.502,0.604,0.0,-16.073,0,0.0439,0.135,0.454,117203.0,4.0,Mender
0.257,79.999,0.91,0.84,0.779,4.0,-15.347,0,0.0791,0.378,0.54,156000.0,4.0,Mender
0.0138,65.14,0.948,0.991,0.379,2.0,-25.238,0,0.0467,0.106,0.378,90117.0,4.0,Mender
0.53,93.927,0.00399,0.809,0.55,0.0,-11.147,0,0.0342,0.13,0.545,218111.0,4.0,Mender
0.466,79.705,6.36e-06,0.833,0.548,1.0,-9.097,0,0.0358,0.159,0.489,183840.0,4.0,Mender
0.403,99.612,7.37e-05,0.704,0.59,11.0,-11.246,0,0.0421,0.111,0.574,137893.0,4.0,Mender
0.414,79.108,0.0,0.897,0.428,7.0,-5.729,0,0.0403,0.238,0.508,175021.0,4.0,Mender
0.326,79.206,0.0,0.864,0.399,7.0,-9.239,0,0.0386,0.191,0.546,174000.0,4.0,Mender
0.285,85.861,1.55e-06,0.829,0.421,2.0,-9.43,0,0.0293,0.233,0.402,196133.0,4.0,Mender
0.398,88.897,0.000537,0.755,0.42,6.0,-9.13,0,0.0296,0.172,0.364,155026.0,3.0,Mender
0.4,98.781,0.000334,0.717,0.666,9.0,-7.324,0,0.0328,0.342,0.395,285506.0,3.0,Mender
0.229,85.854,0.0,0.683,0.613,7.0,-14.887,0,0.353,0.197,0.578,178880.0,4.0,Mender
0.582,79.633,0.356,0.466,0.39,10.0,-9.822,0,0.0427,0.292,0.561,301242.0,4.0,Mender
0.508,79.583,1.41e-06,0.478,0.407,9.0,-9.213,0,0.0324,0.18,0.459,240440.0,4.0,Mender
0.427,75.086,0.0,0.527,0.692,11.0,-10.733,0,0.391,0.17,0.542,202213.0,4.0,Mender
0.224,80.845,1.2e-06,0.715,0.457,9.0,-19.476,0,0.0344,0.224,0.48,154960.0,4.0,Mender
0.564,69.95,0.0,0.57,0.663,9.0,-6.357,0,0.384,0.204,0.351,210517.0,4.0,Mender
0.339,80.036,5.51e-05,0.752,0.705,4.0,-11.382,0,0.41,0.137,0.557,157750.0,4.0,Mender
0.538,76.008,2.23e-06,0.636,0.582,2.0,-9.395,0,0.0353,0.868,0.355,235385.0,4.0,Mender
0.571,96.081,2.01e-06,0.692,0.52,5.0,-8.423,0,0.0333,0.17,0.399,224156.0,4.0,Mender
0.471,78.127,0.0,0.693,0.743,0.0,-11.865,0,0.443,0.106,0.463,349767.0,4.0,Mender
0.457,84.995,1.56e-05,0.723,0.745,10.0,-11.831,0,0.209,0.101,0.48,197000.0,4.0,Mender
0.495,75.015,3.5e-05,0.653,0.736,2.0,-9.999,0,0.0774,0.12,0.437,204800.0,4.0,Mender
0.509,94.228,0.0,0.766,0.813,4.0,-12.016,0,0.463,0.104,0.554,171375.0,4.0,Mender
0.559,74.419,0.0,0.578,0.419,11.0,-15.272,0,0.124,0.118,0.367,65217.0,3.0,Mender
0.392,83.683,4.21e-05,0.794,0.604,4.0,-11.259,0,0.0652,0.102,0.387,190571.0,4.0,Mender
0.329,99.338,1.07e-06,0.535,0.616,4.0,-8.228,0,0.0341,0.114,0.386,126066.0,4.0,Mender
0.36,81.523,0.0,0.912,0.434,2.0,-8.602,0,0.0268,0.166,0.439,144893.0,4.0,Mender
0.264,90.048,0.694,0.552,0.53,5.0,-18.16,0,0.038,0.133,0.489,224013.0,4.0,Mender
0.346,83.912,0.935,0.839,0.71,8.0,-11.872,0,0.0582,0.111,0.364,424080.0,4.0,Mender
0.596,79.359,9.84e-06,0.439,0.508,4.0,-9.034,0,0.0334,0.111,0.4,264546.0,4.0,Mender
0.508,79.583,1.41e-06,0.478,0.407,9.0,-9.213,0,0.0324,0.18,0.459,240440.0,4.0,Mender
0.563,81.467,0.00431,0.678,0.291,11.0,-9.12,0,0.0455,0.11,0.457,238653.0,4.0,Mender
0.159,97.34,0.0,0.923,0.715,2.0,-12.138,0,0.134,0.5,0.485,191466.0,4.0,Mender
0.224,80.035,0.88,0.462,0.48,0.0,-18.077,0,0.0401,0.105,0.395,189405.0,4.0,Mender
0.482,81.056,4.92e-05,0.467,0.597,1.0,-5.888,0,0.0339,0.153,0.435,231760.0,3.0,Mender
0.257,77.524,1.26e-06,0.861,0.629,8.0,-13.329,0,0.0442,0.18,0.374,180781.0,4.0,Mender
0.319,79.822,0.00155,0.721,0.65,0.0,-15.446,0,0.0325,0.115,0.53,224493.0,4.0,Mender
0.381,77.95,6.27e-06,0.514,0.562,9.0,-17.097,0,0.0478,0.11,0.363,240426.0,4.0,Mender
0.35,81.012,4.3e-05,0.822,0.52,7.0,-11.57,0,0.0254,0.111,0.478,202386.0,4.0,Mender
0.328,84.316,0.000105,0.461,0.425,0.0,-11.118,0,0.0249,0.318,0.392,199001.0,4.0,Mender
0.229,79.102,0.0,0.823,0.468,9.0,-12.936,0,0.0303,0.183,0.362,216413.0,4.0,Mender
0.4,87.758,0.0,0.531,0.49,0.0,-13.119,0,0.0358,0.148,0.362,232386.0,4.0,Mender
0.32,85.464,0.0,0.868,0.507,9.0,-9.668,0,0.0319,0.176,0.352,162000.0,4.0,Mender
0.325,72.807,0.0,0.88,0.276,2.0,-9.531,0,0.0326,0.106,0.398,157373.0,4.0,Mender
0.381,75.195,0.0,0.487,0.194,2.0,-6.463,0,0.034,0.329,0.44,333440.0,4.0,Mender
0.263,67.001,0.793,0.904,0.642,10.0,-18.23,0,0.0479,0.139,0.394,201492.0,4.0,Mender
0.368,84.366,0.0,0.832,0.637,8.0,-13.572,0,0.931,0.121,0.485,305260.0,4.0,Mender
0.501,92.031,0.0013,0.627,0.735,11.0,-11.257,0,0.167,0.104,0.551,159130.0,4.0,Mender
0.556,80.003,0.0465,0.776,0.601,7.0,-10.722,0,0.395,0.236,0.457,147000.0,4.0,Mender
0.236,80.795,0.494,0.914,0.444,5.0,-12.968,0,0.172,0.271,0.402,208793.0,4.0,Mender
0.24,95.164,0.726,0.919,0.483,9.0,-18.583,0,0.0883,0.155,0.506,95108.0,3.0,Mender
0.287,89.975,0.0,0.6,0.807,1.0,-9.852,0,0.0386,0.105,0.466,157333.0,4.0,Mender
