energy,tempo,instrumentalness,acousticness,valence,label
0.509,170.117,0.891,0.683,0.374,Seeker
0.665,178.064,0.596,0.0352,0.399,Seeker
0.733,167.935,0.809,0.676,0.377,Seeker
0.672,173.954,0.79,0.302,0.584,Seeker
0.729,154.28,0.833,0.0134,0.415,Seeker
0.682,168.385,0.907,0.0422,0.397,Seeker
0.481,147.327,0.821,0.0266,0.451,Seeker
0.604,152.474,0.496,0.12,0.553,Seeker
0.581,171.961,0.661,0.201,0.338,Seeker
0.468,154.626,0.928,0.867,0.352,Seeker
0.405,188.31,0.824,0.146,0.303,Seeker
0.405,165.18,0.965,0.839,0.478,Seeker
0.61,150.861,0.897,0.738,0.485,Seeker
0.477,171.424,0.922,0.165,0.46,Seeker
0.545,54.669,0.891,1.5e-06,0.438,Seeker
0.63,65.546,0.876,0.299,0.328,Seeker
0.464,170.047,0.803,0.425,0.313,Seeker
0.497,140.002,0.932,0.302,0.343,Seeker
0.511,153.028,0.878,0.098,0.447,Seeker
0.488,159.819,0.689,0.158,0.436,Seeker
0.416,172.669,0.896,0.925,0.418,Seeker
0.71,145.928,0.537,0.262,0.53,Seeker
0.587,158.057,0.51,0.0546,0.426,Seeker
0.737,219.693,0.767,5.12e-05,0.342,Seeker
0.558,171.827,0.916,0.171,0.539,Seeker
0.735,145.096,0.782,0.000797,0.552,Seeker
0.747,173.052,0.557,0.00887,0.414,Seeker
0.593,143.782,0.678,0.00348,0.588,Seeker
0.41,148.026,0.841,0.211,0.505,Seeker
0.65,172.043,0.891,0.000742,0.594,Seeker
0.607,170.018,0.761,0.307,0.356,Seeker
0.687,140.221,0.947,0.00347,0.567,Seeker
0.601,194.03,0.832,0.117,0.504,Seeker
0.401,175.983,0.902,0.336,0.574,Seeker
0.66,147.898,0.951,0.187,0.349,Seeker
0.519,190.051,0.944,0.0271,0.478,Seeker
0.58,176.03,0.846,0.000271,0.529,Seeker
0.74,170.098,0.849,0.0352,0.419,Seeker
0.49,169.999,0.937,0.941,0.352,Seeker
0.407,165.862,0.455,0.783,0.318,Seeker
0.486,169.945,0.916,0.973,0.519,Seeker
0.416,67.202,0.856,0.925,0.468,Seeker
0.553,178.113,0.719,0.906,0.369,Seeker
0.67,180.041,0.419,0.0276,0.591,Seeker
0.435,148.874,0.923,0.826,0.537,Seeker
0.708,147.957,0.429,0.00522,0.518,Seeker
0.628,163.943,0.911,0.00226,0.596,Seeker
0.536,143.831,0.719,0.0015,0.356,Seeker
0.662,177.018,0.817,0.106,0.532,Seeker
0.662,140.046,0.58,0.00185,0.326,Seeker
0.741,156.018,0.904,0.102,0.397,Seeker
0.75,140.079,0.963,0.0878,0.406,Seeker
0.715,184.014,0.945,0.0971,0.448,Seeker
0.7,160.058,0.59,0.0236,0.357,Seeker
0.544,168.214,0.912,0.121,0.326,Seeker
0.584,67.96,0.775,0.000411,0.56,Seeker
0.458,142.999,0.764,0.0692,0.489,Seeker
0.593,155.011,0.851,0.0733,0.52,Seeker
0.747,148.262,0.886,0.00967,0.306,Seeker
0.457,201.945,0.897,0.0372,0.516,Seeker
0.611,143.489,0.956,0.063,0.557,Seeker
0.453,140.023,0.837,0.000403,0.568,Seeker
0.529,144.817,0.905,0.0259,0.503,Seeker
0.474,148.093,0.717,0.07,0.434,Seeker
0.521,179.894,0.854,0.435,0.337,Seeker
0.614,155.658,0.403,0.0904,0.47,Seeker
0.72,173.996,0.758,0.00112,0.342,Seeker
0.747,174.056,0.932,0.000699,0.474,Seeker
0.72,173.989,0.867,0.0131,0.435,Seeker
0.726,173.998,0.51,0.114,0.315,Seeker
0.485,168.753,0.912,0.00158,0.475,Seeker
