energy,tempo,instrumentalness,acousticness,danceability,valence,label
0.282,96.638,0.833,0.983,0.616,0.435,Stargazer
0.287,80.64,0.961,0.969,0.739,0.557,Stargazer
0.356,81.032,0.917,0.954,0.547,0.504,Stargazer
0.427,99.648,0.905,0.804,0.589,0.376,Stargazer
0.254,81.484,0.931,0.962,0.549,0.541,Stargazer
0.386,80.833,0.906,0.67,0.647,0.491,Stargazer
0.198,60.402,0.852,0.397,0.63,0.342,Stargazer
0.126,72.702,0.942,0.995,0.509,0.34,Stargazer
0.0406,88.027,0.964,0.557,0.525,0.31,Stargazer
0.415,74.989,0.886,0.442,0.701,0.326,Stargazer
0.262,75.082,0.854,0.548,0.733,0.393,Stargazer
0.108,74.998,0.828,0.898,0.572,0.469,Stargazer
0.138,80.028,0.942,0.949,0.792,0.434,Stargazer
0.117,68.845,0.926,0.979,0.627,0.382,Stargazer
0.385,92.007,0.902,0.795,0.784,0.44,Stargazer
0.315,75.013,0.858,0.365,0.698,0.306,Stargazer
0.172,88.022,0.678,0.813,0.55,0.392,Stargazer
0.248,79.973,0.871,0.808,0.826,0.324,Stargazer
0.383,74.988,0.952,0.715,0.753,0.327,Stargazer
0.22,80.02,0.902,0.909,0.715,0.477,Stargazer
0.203,79.998,0.837,0.502,0.604,0.454,Stargazer
0.366,84.998,0.907,0.837,0.76,0.317,Stargazer
0.173,69.999,0.972,0.941,0.592,0.433,Stargazer
0.151,90.009,0.929,0.856,0.732,0.339,Stargazer
0.0961,67.021,0.944,0.812,0.568,0.344,Stargazer
0.257,79.999,0.91,0.84,0.779,0.54,Stargazer
0.384,77.823,0.575,0.861,0.594,0.462,Stargazer
0.402,88.643,0.814,0.623,0.653,0.453,Stargazer
0.412,79.512,0.934,0.807,0.548,0.325,Stargazer
0.264,90.048,0.694,0.552,0.53,0.489,Stargazer
0.346,83.912,0.935,0.839,0.71,0.364,Stargazer
0.278,79.022,0.84,0.743,0.653,0.593,Stargazer
0.368,95.098,0.939,0.733,0.722,0.433,Stargazer
0.263,67.001,0.793,0.904,0.642,0.394,Stargazer
0.0679,75.004,0.887,0.987,0.615,0.313,Stargazer
0.446,80.009,0.694,0.545,0.788,0.545,Stargazer
0.198,89.988,0.655,0.883,0.639,0.345,Stargazer
0.186,86.383,0.934,0.686,0.691,0.548,Stargazer
0.162,86.98,0.94,0.81,0.789,0.434,Stargazer
0.133,69.997,0.808,0.875,0.79,0.422,Stargazer
0.456,80.974,0.895,0.279,0.67,0.589,Stargazer
0.207,79.978,0.941,0.881,0.569,0.36,Stargazer
0.323,75.955,0.942,0.897,0.691,0.382,Stargazer
0.3,74.971,0.655,0.927,0.563,0.38,Stargazer
0.158,97.567,0.922,0.964,0.75,0.507,Stargazer
0.117,68.845,0.926,0.979,0.627,0.382,Stargazer
0.399,78.893,0.571,0.949,0.633,0.466,Stargazer
0.292,80.002,0.927,0.857,0.674,0.581,Stargazer
0.194,75.981,0.808,0.973,0.615,0.589,Stargazer
0.412,79.512,0.934,0.807,0.548,0.325,Stargazer
0.194,75.981,0.808,0.973,0.615,0.589,Stargazer
0.194,75.981,0.808,0.973,0.615,0.589,Stargazer
0.148,74.423,0.921,0.965,0.596,0.488,Stargazer
0.13,61.913,0.699,0.996,0.552,0.356,Stargazer
0.0489,97.303,0.949,0.964,0.514,0.453,Stargazer
0.042,82.314,0.968,0.976,0.661,0.575,Stargazer
0.177,96.075,0.917,0.963,0.57,0.515,Stargazer
0.042,82.314,0.968,0.976,0.661,0.575,Stargazer
0.0489,97.303,0.949,0.964,0.514,0.453,Stargazer
0.143,93.772,0.814,0.985,0.511,0.396,Stargazer
0.22,93.46,0.938,0.964,0.638,0.452,Stargazer
0.0308,72.88,0.915,0.995,0.502,0.312,Stargazer
0.177,96.075,0.917,0.963,0.57,0.515,Stargazer
0.042,82.314,0.968,0.976,0.661,0.575,Stargazer
0.232,93.436,0.923,0.962,0.644,0.442,Stargazer
0.177,96.075,0.917,0.963,0.57,0.515,Stargazer
0.199,92.138,0.939,0.995,0.519,0.581,Stargazer
0.46,93.01,0.777,0.392,0.716,0.59,Stargazer
0.316,96.393,0.746,0.434,0.808,0.315,Stargazer
0.00841,77.455,0.908,0.993,0.527,0.335,Stargazer
0.0548,92.128,0.922,0.992,0.72,0.301,Stargazer
0.00879,82.694,0.959,0.996,0.529,0.51,Stargazer
0.316,96.393,0.746,0.434,0.808,0.315,Stargazer
0.0363,68.091,0.908,0.995,0.727,0.535,Stargazer
0.0501,71.082,0.859,0.99,0.519,0.502,Stargazer
0.0386,91.838,0.895,0.995,0.61,0.337,Stargazer
0.0249,91.957,0.907,0.995,0.685,0.359,Stargazer
0.316,96.393,0.746,0.434,0.808,0.315,Stargazer
0.0233,92.337,0.922,0.993,0.64,0.327,Stargazer
0.325,67.528,0.904,0.994,0.523,0.399,Stargazer
0.316,96.393,0.746,0.434,0.808,0.315,Stargazer
0.0785,87.792,0.931,0.994,0.507,0.432,Stargazer
0.0312,60.404,0.923,0.994,0.734,0.306,Stargazer
0.0132,61.955,0.95,0.993,0.854,0.316,Stargazer
0.0996,93.876,0.948,0.989,0.737,0.52,Stargazer
0.0934,99.907,0.941,0.978,0.671,0.508,Stargazer
0.0179,86.957,0.967,0.993,0.676,0.437,Stargazer
0.0712,89.966,0.882,0.988,0.782,0.574,Stargazer
0.174,87.959,0.897,0.913,0.67,0.483,Stargazer
0.373,85.016,0.525,0.341,0.765,0.554,Stargazer
0.422,74.035,0.862,0.976,0.551,0.312,Stargazer
0.461,83.573,0.796,0.705,0.533,0.573,Stargazer
0.196,98.637,0.932,0.89,0.751,0.405,Stargazer
0.15,87.956,0.735,0.974,0.554,0.314,Stargazer
0.441,82.007,0.905,0.856,0.801,0.49,Stargazer
0.351,87.057,0.819,0.516,0.665,0.451,Stargazer
0.458,93.561,0.945,0.89,0.664,0.571,Stargazer
0.437,82.106,0.839,0.923,0.526,0.455,Stargazer
0.306,91.763,0.826,0.953,0.66,0.491,Stargazer
0.255,82.729,0.693,0.921,0.606,0.352,Stargazer
0.392,76.03,0.926,0.857,0.652,0.407,Stargazer
0.0216,63.85,0.884,0.995,0.587,0.363,Stargazer
0.15,87.956,0.735,0.974,0.554,0.314,Stargazer
0.287,80.64,0.961,0.969,0.739,0.557,Stargazer
0.0821,87.379,0.937,0.99,0.636,0.463,Stargazer
0.183,83.481,0.929,0.994,0.631,0.399,Stargazer
0.147,73.995,0.942,0.947,0.799,0.537,Stargazer
0.357,79.981,0.691,0.669,0.743,0.447,Stargazer
0.268,98.851,0.952,0.981,0.511,0.337,Stargazer
0.428,94.111,0.938,0.468,0.688,0.312,Stargazer
0.245,88.664,0.889,0.956,0.534,0.34,Stargazer
0.241,67.435,0.522,0.992,0.598,0.328,Stargazer
0.127,80.072,0.908,0.927,0.679,0.44,Stargazer
0.164,80.065,0.946,0.97,0.593,0.327,Stargazer
0.407,98.028,0.907,0.516,0.874,0.518,Stargazer
